Unnamed: 0.1,Unnamed: 0,tic,pcdate,permno,cusip,gvkey,tic_clean,PROCESSED
26,46,JAVA.1,05OCT2009,10078,86681020,12136,JAVA,T
2491,8349,TE,28NOV2009,37161,87237510,10277,TE,F
